source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct
baseline,rsi_14,baseline_recomputed,baseline,20260224_221101,JPM,2025-08-11,short,10,HOLD,0.0184417119370808,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2025-08-11,short,10,BUY,0.0184417119370808,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2026-01-05,short,10,BUY,-0.0896133323654536,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221045,JPM,2026-01-05,short,10,BUY,-0.0896133323654536,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221102,JPM,2026-01-05,short,10,HOLD,-0.0896133323654536,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2026-01-05,short,10,BUY,-0.0896133323654536,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2021-11-15,short,10,BUY,0.0882930527537988,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221046,NVDA,2021-11-15,short,10,BUY,0.0882930527537988,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221102,NVDA,2021-11-15,short,10,SELL,0.0882930527537988,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2021-11-15,short,10,SELL,0.0882930527537988,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2022-01-17,short,10,BUY,-0.0488360400239775,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221046,NVDA,2022-01-17,short,10,SELL,-0.0488360400239775,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221102,NVDA,2022-01-17,short,10,BUY,-0.0488360400239775,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2022-01-17,short,10,HOLD,-0.0488360400239775,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2022-02-28,short,10,BUY,-0.1251326406084493,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221046,NVDA,2022-02-28,short,10,SELL,-0.1251326406084493,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221102,NVDA,2022-02-28,short,10,HOLD,-0.1251326406084493,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2022-02-28,short,10,BUY,-0.1251326406084493,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2022-09-26,short,10,BUY,-0.0456330712872078,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221046,NVDA,2022-09-26,short,10,SELL,-0.0456330712872078,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221103,NVDA,2022-09-26,short,10,HOLD,-0.0456330712872078,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2022-09-26,short,10,BUY,-0.0456330712872078,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2023-05-15,short,10,BUY,0.3853831188769223,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221046,NVDA,2023-05-15,short,10,BUY,0.3853831188769223,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221103,NVDA,2023-05-15,short,10,HOLD,0.3853831188769223,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2023-05-15,short,10,HOLD,0.3853831188769223,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2023-10-30,short,10,BUY,0.1812152716371547,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221047,NVDA,2023-10-30,short,10,SELL,0.1812152716371547,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221104,NVDA,2023-10-30,short,10,HOLD,0.1812152716371547,0
