source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153534,NVDA,2025-04-14,short,10,SELL,-0.015265074649786086,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153534,NVDA,2025-04-14,short,10,HOLD,-0.015265074649786086,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153534,NVDA,2025-04-14,short,10,BUY,-0.015265074649786086,0,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153534,NVDA,2025-04-28,short,10,BUY,0.1312425994141852,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153535,NVDA,2025-04-28,short,10,SELL,0.1312425994141852,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153535,NVDA,2025-04-28,short,10,HOLD,0.1312425994141852,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153535,NVDA,2025-04-28,short,10,BUY,0.1312425994141852,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153535,NVDA,2025-05-12,short,10,BUY,0.10162590807045455,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153535,NVDA,2025-05-12,short,10,SELL,0.10162590807045455,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153536,NVDA,2025-05-12,short,10,SELL,0.10162590807045455,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153536,NVDA,2025-05-12,short,10,BUY,0.10162590807045455,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153536,NVDA,2025-05-26,short,10,BUY,0.06243554666117626,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153536,NVDA,2025-05-26,short,10,BUY,0.06243554666117626,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153537,NVDA,2025-05-26,short,10,SELL,0.06243554666117626,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153537,NVDA,2025-05-26,short,10,SELL,0.06243554666117626,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153537,NVDA,2025-06-09,short,10,BUY,0.03702053906265381,1,BUY,N/A
